"president_number","president","term_number","term_start","term_end","poll_start","poll_end","polling_institute","approval","disapproval","no_opinion","sample_size"
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-07-17,2024-07-20,"American Research Group",41,53,6,1100
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-07-05,2024-07-09,"ABC News / Washington Post",36,57,7,2431
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-07-07,2024-07-09,"NBC News",40,58,2,800
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-07-01,2024-07-07,"Pew",32,66,2,9424
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-06-28,2024-07-02,"NY Times Upshot/Siena College",34,62,4,1532
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-06-28,2024-06-30,"CNN",36,64,0,1274
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-06-28,2024-06-30,"Suffolk / USA Today",41,57,2,1000
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-06-20,2024-06-25,"NY Times Upshot/Siena College",35,61,4,1226
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-06-20,2024-06-24,"Quinnipiac University",38,58,4,1405
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-06-20,2024-06-24,"Associated Press/NORC Center",39,61,0,1088
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-06-21,2024-06-23,"Reuters/Ipsos",37,57,6,1019
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-06-17,2024-06-20,"American Research Group",44,51,5,1100
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-05-01,2024-05-23,"Gallup Organization",39,56,5,1024
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-05-16,2024-05-20,"Quinnipiac University",39,56,5,1374
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-05-17,2024-05-20,"Ipsos",36,59,5,1017
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-05-17,2024-05-20,"American Research Group",39,56,5,1100
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-04-25,2024-04-30,"ABC News",35,57,8,2260
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-04-18,2024-04-23,"CNN",40,60,0,1212
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-04-01,2024-04-22,"Gallup Organization",38,58,4,1001
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-04-18,2024-04-22,"Quinnipiac University",35,61,4,1429
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-04-17,2024-04-20,"American Research Group",42,53,5,1100
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-04-12,2024-04-16,"NBC News",42,56,2,1000
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-04-08,2024-04-14,"Pew",35,62,2,8709
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-04-12,2024-04-14,"Reuters/Ipsos",38,56,6,1016
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-04-07,2024-04-11,"NY Times Upshot/Siena College",38,59,3,1059
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-03-18,2024-03-28,"Marquette Law School",39,60,0,780
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-03-21,2024-03-25,"Associated Press/NORC Center",38,61,1,1282
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-03-21,2024-03-25,"Quinnipiac University",37,59,3,1407
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-03-22,2024-03-24,"Reuters/Ipsos",40,56,4,1021
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-03-01,2024-03-20,"Gallup Organization",40,55,5,1016
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-03-17,2024-03-20,"American Research Group",46,50,4,1100
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-03-15,2024-03-19,"CNBC",39,56,5,1001
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-03-11,2024-03-17,"Grinnell College",34,57,9,1005
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-03-08,2024-03-11,"Suffolk / USA Today",41,55,4,1000
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-02-23,2024-02-25,"Reuters/Ipsos",37,58,5,1020
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-02-01,2024-02-20,"Gallup Organization",38,59,3,1016
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-02-17,2024-02-20,"American Research Group",43,51,6,1100
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-02-15,2024-02-19,"Quinnipiac University",40,57,3,1421
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-02-05,2024-02-15,"Marquette Law School",38,61,0,882
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-01-25,2024-01-30,"CNN",38,62,0,1212
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-01-26,2024-01-30,"NBC News",37,60,3,1000
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-01-25,2024-01-29,"Quinnipiac University",41,55,4,1650
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-01-25,2024-01-29,"Associated Press/NORC Center",38,61,1,1152
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-01-26,2024-01-28,"Reuters/Ipsos",38,57,5,1019
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-01-02,2024-01-22,"Gallup Organization",41,54,5,1011
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-01-16,2024-01-21,"Pew",33,65,1,5140
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-01-17,2024-01-20,"American Research Group",40,54,6,1100
46,"Joe Biden",1,2021-01-20,2025-01-20,2024-01-04,2024-01-08,"ABC News",33,58,9,2228
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-12-26,2023-12-29,"Suffolk / USA Today",39,58,3,1000
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-12-01,2023-12-20,"Gallup Organization",39,59,2,1013
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-12-17,2023-12-20,"American Research Group",37,57,6,1100
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-12-14,2023-12-18,"Quinnipiac University",38,58,4,1647
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-12-10,2023-12-13,"Fox",43,57,0,1007
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-11-30,2023-12-04,"Associated Press/NORC Center",41,59,1,1074
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-11-27,2023-12-03,"Pew",33,64,1,5203
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-11-01,2023-11-30,"CNN",37,63,0,1795
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-11-01,2023-11-21,"Gallup Organization",37,59,4,1013
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-11-17,2023-11-20,"American Research Group",37,57,6,1100
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-11-10,2023-11-14,"NBC News",40,57,3,1000
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-11-09,2023-11-13,"Quinnipiac University",37,59,5,1574
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-11-10,2023-11-13,"Fox",40,59,1,1001
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-11-02,2023-11-07,"Marquette Law School",40,60,0,856
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-11-02,2023-11-06,"Associated Press/NORC Center",38,61,1,1239
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-10-27,2023-11-02,"CNN",39,61,0,1514
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-10-26,2023-10-30,"Quinnipiac University",39,58,4,1610
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-10-02,2023-10-23,"Gallup Organization",37,59,4,1009
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-10-17,2023-10-20,"American Research Group",38,56,6,1100
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-10-17,2023-10-20,"Suffolk / USA Today",40,56,4,1000
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-10-12,2023-10-16,"Quinnipiac University",38,56,6,1552
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-10-10,2023-10-15,"Grinnell College",38,53,9,1006
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-10-11,2023-10-15,"CNBC",37,58,5,1001
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-10-04,2023-10-09,"CNN",41,59,0,1255
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-10-05,2023-10-09,"Associated Press/NORC Center",38,61,1,1163
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-10-06,2023-10-09,"Fox",41,58,1,1007
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-09-18,2023-09-25,"Marquette Law School",39,61,0,1007
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-09-01,2023-09-23,"Gallup Organization",41,58,1,1016
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-09-15,2023-09-20,"ABC News / Washington Post",37,56,7,1006
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-09-17,2023-09-20,"American Research Group",39,56,5,1100
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-09-15,2023-09-19,"NBC News",41,56,3,1000
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-09-09,2023-09-12,"Fox",41,58,1,1012
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-09-07,2023-09-11,"Associated Press/NORC Center",40,59,1,1146
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-09-07,2023-09-11,"Quinnipiac University",36,57,7,1910
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-08-25,2023-08-31,"CNN",39,61,0,1503
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-08-17,2023-08-20,"American Research Group",41,54,5,1100
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-08-10,2023-08-14,"Associated Press/NORC Center",42,57,0,1165
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-08-10,2023-08-14,"Quinnipiac University",37,56,7,1818
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-08-04,2023-08-06,"Reuters/Ipsos",40,54,6,1032
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-07-01,2023-07-31,"CNN",41,59,0,1279
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-07-23,2023-07-27,"NY Times Upshot/Siena College",39,54,7,1329
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-07-17,2023-07-20,"American Research Group",40,56,4,1100
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-07-12,2023-07-16,"CNBC",39,55,6,1000
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-07-07,2023-07-12,"Marquette Law School",42,58,0,1005
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-07-07,2023-07-09,"Reuters/Ipsos",40,54,6,1028
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-06-22,2023-06-26,"Associated Press/NORC Center",41,58,1,1220
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-06-23,2023-06-26,"Fox",44,55,1,1000
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-06-01,2023-06-22,"Gallup Organization",43,54,3,1013
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-06-16,2023-06-20,"NBC News",43,53,4,1000
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-06-17,2023-06-20,"American Research Group",40,54,6,1100
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-06-08,2023-06-12,"Quinnipiac University",41,54,5,1929
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-06-05,2023-06-11,"Pew",35,62,3,5115
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-06-05,2023-06-09,"Suffolk / USA Today",40,54,6,1000
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-06-02,2023-06-05,"Reuters/Ipsos",41,54,5,1056
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-05-01,2023-05-24,"Gallup Organization",39,57,5,1011
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-05-18,2023-05-22,"Quinnipiac University",36,58,6,1819
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-05-19,2023-05-22,"Fox",42,58,1,1001
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-05-17,2023-05-20,"American Research Group",41,52,7,1100
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-05-17,2023-05-20,"CNN",40,60,0,1227
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-05-08,2023-05-18,"Marquette Law School",39,60,1,1010
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-05-11,2023-05-15,"Associated Press/NORC Center",40,59,1,1680
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-05-05,2023-05-07,"Reuters/Ipsos",40,54,6,1022
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-04-28,2023-05-03,"ABC News / Washington Post",36,56,8,1006
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-04-21,2023-04-24,"Fox",44,55,1,1004
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-04-17,2023-04-20,"American Research Group",43,51,6,1100
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-04-14,2023-04-18,"NBC News",41,54,5,1000
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-04-13,2023-04-17,"Associated Press/NORC Center",42,58,0,1230
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-04-06,2023-04-11,"CNBC",39,55,7,1002
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-03-27,2023-04-02,"Pew",37,60,3,5079
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-03-01,2023-03-31,"CNN",42,57,0,1595
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-03-23,2023-03-27,"Quinnipiac University",37,57,7,1788
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-03-24,2023-03-27,"Fox",44,56,1,1007
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-03-01,2023-03-23,"Gallup Organization",40,56,4,1009
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-03-16,2023-03-20,"Associated Press/NORC Center",38,61,1,1081
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-03-16,2023-03-20,"Monmouth University",41,51,8,805
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-03-17,2023-03-20,"American Research Group",46,49,5,1100
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-03-09,2023-03-13,"Quinnipiac University",38,55,7,795
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-03-03,2023-03-05,"Reuters/Ipsos",42,52,6,1023
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-02-01,2023-02-23,"Gallup Organization",42,54,5,1008
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-02-19,2023-02-22,"Fox",44,55,1,1006
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-02-16,2023-02-20,"Associated Press/NORC Center",45,54,1,1247
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-02-17,2023-02-20,"American Research Group",45,51,4,1100
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-02-09,2023-02-14,"Quinnipiac University",40,54,6,1580
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-02-03,2023-02-05,"Reuters/Ipsos",41,52,7,1029
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-01-27,2023-02-01,"ABC News / Washington Post",42,53,5,1003
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-01-26,2023-01-30,"Associated Press/NORC Center",41,58,1,1068
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-01-26,2023-01-30,"Monmouth University",43,48,9,805
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-01-27,2023-01-30,"Fox",45,54,1,1003
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-01-18,2023-01-24,"Pew",38,60,3,5152
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-01-02,2023-01-22,"Gallup Organization",41,54,4,1011
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-01-19,2023-01-22,"CNN",45,55,0,1004
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-01-09,2023-01-20,"Marquette Law School",43,56,1,1000
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-01-17,2023-01-20,"American Research Group",41,54,5,1100
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-01-11,2023-01-16,"Quinnipiac University",36,53,11,1659
46,"Joe Biden",1,2021-01-20,2025-01-20,2023-01-13,2023-01-15,"Ipsos",40,53,7,1035
46,"Joe Biden",1,2021-01-20,2025-01-20,2022-12-17,2022-12-20,"American Research Group",45,50,5,1100
46,"Joe Biden",1,2021-01-20,2025-01-20,2022-12-08,2022-12-12,"Quinnipiac University",40,50,10,1614
46,"Joe Biden",1,2021-01-20,2025-01-20,2022-12-08,2022-12-12,"Monmouth University",42,50,8,805
46,"Joe Biden",1,2021-01-20,2025-01-20,2022-12-09,2022-12-12,"Fox",44,56,1,1005
46,"Joe Biden",1,2021-01-20,2025-01-20,2022-12-07,2022-12-11,"Suffolk / USA Today",45,52,3,1000
46,"Joe Biden",1,2021-01-20,2025-01-20,2022-12-01,2022-12-07,"CNN",46,54,1,1208
46,"Joe Biden",1,2021-01-20,2025-01-20,2022-12-01,2022-12-05,"Associated Press/NORC Center",43,55,2,1124
46,"Joe Biden",1,2021-01-20,2025-01-20,2022-11-26,2022-11-30,"CNBC",41,54,6,801
46,"Joe Biden",1,2021-01-20,2025-01-20,2022-11-15,2022-11-22,"Marquette Law School",45,54,0,1004
46,"Joe Biden",1,2021-01-20,2025-01-20,2022-11-16,2022-11-20,"Quinnipiac University",36,54,11,1589
46,"Joe Biden",1,2021-01-20,2025-01-20,2022-11-17,2022-11-20,"American Research Group",41,54,5,1100
46,"Joe Biden",1,2021-01-20,2025-01-20,2022-11-14,2022-11-16,"Marist",42,54,5,1296
46,"Joe Biden",1,2021-01-20,2025-01-20,2022-11-03,2022-11-05,"NBC News",44,53,3,1000
46,"Joe Biden",1,2021-01-20,2025-01-20,2022-10-30,2022-11-02,"ABC News / Washington Post",41,53,6,1005
46,"Joe Biden",1,2021-01-20,2025-01-20,2022-10-26,2022-10-31,"CNN",41,59,0,1508
46,"Joe Biden",1,2021-01-20,2025-01-20,2022-10-26,2022-10-30,"Quinnipiac University",36,53,11,2203
46,"Joe Biden",1,2021-01-20,2025-01-20,2022-10-19,2022-10-24,"Suffolk / USA Today",43,52,4,1000
46,"Joe Biden",1,2021-01-20,2025-01-20,2022-10-03,2022-10-20,"Gallup Organization",40,56,4,1009
46,"Joe Biden",1,2021-01-20,2025-01-20,2022-10-17,2022-10-20,"American Research Group",39,55,6,1100
46,"Joe Biden",1,2021-01-20,2025-01-20,2022-10-14,2022-10-18,"NBC News",45,52,3,1000
46,"Joe Biden",1,2021-01-20,2025-01-20,2022-10-13,2022-10-17,"Monmouth University",40,53,7,808
46,"Joe Biden",1,2021-01-20,2025-01-20,2022-10-10,2022-10-16,"Pew",38,59,3,5098
46,"Joe Biden",1,2021-01-20,2025-01-20,2022-10-13,2022-10-16,"CNBC",46,50,4,800
46,"Joe Biden",1,2021-01-20,2025-01-20,2022-10-09,2022-10-12,"Fox",46,53,1,1206
46,"Joe Biden",1,2021-01-20,2025-01-20,2022-10-06,2022-10-10,"Associated Press/NORC Center",43,56,1,1121
46,"Joe Biden",1,2021-01-20,2025-01-20,2022-09-03,2022-10-05,"CNN",44,56,0,1982
46,"Joe Biden",1,2021-01-20,2025-01-20,2022-09-27,2022-09-29,"NPR/Marist",44,49,7,1690
46,"Joe Biden",1,2021-01-20,2025-01-20,2022-09-21,2022-09-25,"Monmouth University",38,54,8,806
46,"Joe Biden",1,2021-01-20,2025-01-20,2022-09-18,2022-09-21,"ABC News / Washington Post",39,53,8,1006
46,"Joe Biden",1,2021-01-20,2025-01-20,2022-09-17,2022-09-20,"American Research Group",41,53,6,1100
46,"Joe Biden",1,2021-01-20,2025-01-20,2022-09-01,2022-09-16,"Gallup Organization",42,56,2,812
46,"Joe Biden",1,2021-01-20,2025-01-20,2022-09-07,2022-09-14,"Marquette Law School",45,54,0,1448
46,"Joe Biden",1,2021-01-20,2025-01-20,2022-09-09,2022-09-13,"NBC News",45,52,3,1000
46,"Joe Biden",1,2021-01-20,2025-01-20,2022-09-09,2022-09-12,"Fox",43,56,1,1201
46,"Joe Biden",1,2021-01-20,2025-01-20,2022-09-09,2022-09-12,"Associated Press/NORC Center",45,53,1,1054
46,"Joe Biden",1,2021-01-20,2025-01-20,2022-09-01,2022-09-11,"PRRI",43,53,3,2523
46,"Joe Biden",1,2021-01-20,2025-01-20,2022-08-29,2022-09-01,"NPR/PBS Newshour/Marist",41,54,5,1236
46,"Joe Biden",1,2021-01-20,2025-01-20,2022-08-25,2022-08-29,"Quinnipiac University",40,52,8,1584
46,"Joe Biden",1,2021-01-20,2025-01-20,2022-08-01,2022-08-23,"Gallup Organization",44,53,3,1006
46,"Joe Biden",1,2021-01-20,2025-01-20,2022-08-17,2022-08-20,"American Research Group",37,57,6,1100
46,"Joe Biden",1,2021-01-20,2025-01-20,2022-07-05,2022-08-17,"Pew",37,60,3,7647
46,"Joe Biden",1,2021-01-20,2025-01-20,2022-08-12,2022-08-16,"NBC News",42,55,3,1000
46,"Joe Biden",1,2021-01-20,2025-01-20,2022-08-06,2022-08-09,"Fox",42,58,0,1002
46,"Joe Biden",1,2021-01-20,2025-01-20,2022-07-28,2022-08-01,"Monmouth University",38,56,7,808
46,"Joe Biden",1,2021-01-20,2025-01-20,2022-07-05,2022-07-26,"Gallup Organization",38,59,3,1013
46,"Joe Biden",1,2021-01-20,2025-01-20,2022-07-22,2022-07-25,"Suffolk / USA Today",39,56,5,1000
46,"Joe Biden",1,2021-01-20,2025-01-20,2022-07-17,2022-07-20,"American Research Group",36,58,6,1100
46,"Joe Biden",1,2021-01-20,2025-01-20,2022-07-14,2022-07-18,"Quinnipiac University",31,60,9,1523
46,"Joe Biden",1,2021-01-20,2025-01-20,2022-07-14,2022-07-17,"Associated Press/NORC Center",36,62,2,1085
46,"Joe Biden",1,2021-01-20,2025-01-20,2022-06-13,2022-07-13,"CNN",38,62,0,1459
46,"Joe Biden",1,2021-01-20,2025-01-20,2022-07-10,2022-07-13,"Fox",40,59,1,1001
46,"Joe Biden",1,2021-01-20,2025-01-20,2022-07-05,2022-07-12,"Marquette Law School",36,64,0,1003
46,"Joe Biden",1,2021-01-20,2025-01-20,2022-07-07,2022-07-10,"CNBC",36,57,7,800
46,"Joe Biden",1,2021-01-20,2025-01-20,2022-07-05,2022-07-07,"NY Times Upshot/Siena College",33,60,6,849
46,"Joe Biden",1,2021-01-20,2025-01-20,2022-06-27,2022-07-04,"Pew",37,62,2,6174
46,"Joe Biden",1,2021-01-20,2025-01-20,2022-06-23,2022-06-27,"Associated Press/NORC Center",39,60,1,1053
46,"Joe Biden",1,2021-01-20,2025-01-20,2022-06-23,2022-06-25,"Monmouth University",36,58,6,978
46,"Joe Biden",1,2021-01-20,2025-01-20,2022-06-24,2022-06-25,"NPR/PBS Newshour/Marist",40,53,7,941
46,"Joe Biden",1,2021-01-20,2025-01-20,2022-06-01,2022-06-20,"Gallup Organization",41,57,3,1015
46,"Joe Biden",1,2021-01-20,2025-01-20,2022-06-17,2022-06-20,"American Research Group",40,55,5,1100
46,"Joe Biden",1,2021-01-20,2025-01-20,2022-06-17,2022-06-20,"Quinnipiac University",33,57,10,1357
46,"Joe Biden",1,2021-01-20,2025-01-20,2022-06-12,2022-06-15,"Suffolk / USA Today",39,58,4,1000
46,"Joe Biden",1,2021-01-20,2025-01-20,2022-06-10,2022-06-13,"Fox",43,57,1,1002
46,"Joe Biden",1,2021-01-20,2025-01-20,2022-06-03,2022-06-06,"Quinnipiac University",33,55,12,1576
46,"Joe Biden",1,2021-01-20,2025-01-20,2022-05-02,2022-05-22,"Gallup Organization",41,54,5,1007
